candidate_id,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,objective,num_class,eval_metric,tree_method,random_state,n_jobs,verbosity,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
6,0.9675500335179614,0.0007817015355441473,0.9615753688448953,0.0005946830999908459,multi:softmax,3,mlogloss,hist,42,-1,0,0.95,2.0,0.1,600,3,10,0.05,0.1,0.85
4,0.9670823542745962,0.00038588715751556587,0.9634348732060984,0.0006352703096362247,multi:softmax,3,mlogloss,hist,42,-1,0,0.75,8.0,0.0,350,5,10,0.12,0.3,1.0
8,0.966644183880408,0.000717559722981239,0.961746786668392,0.0001820499185313448,multi:softmax,3,mlogloss,hist,42,-1,0,0.95,1.0,0.1,250,3,10,0.08,0.0,1.0
7,0.96632740607865,0.000526802234811963,0.9656966633028459,0.0009753566665823103,multi:softmax,3,mlogloss,hist,42,-1,0,0.85,5.0,0.1,450,1,5,0.08,0.0,0.7
3,0.965811177528472,0.00028875325029244225,0.9624054909350376,0.00027748719974022396,multi:softmax,3,mlogloss,hist,42,-1,0,0.95,8.0,0.0,250,1,10,0.05,0.3,1.0
1,0.9616689810362651,0.0006191559015532661,0.9662271647427284,0.001420373875368017,multi:softmax,3,mlogloss,hist,42,-1,0,1.0,1.0,0.0,350,5,5,0.05,0.1,0.7
2,0.9604969842003913,0.0005601426402387288,0.9655669394498622,0.0014907664428455787,multi:softmax,3,mlogloss,hist,42,-1,0,0.75,8.0,0.5,350,1,6,0.03,0.0,0.7
5,0.9577650339942784,0.0006897924308604126,0.9659223809122229,0.0016743949340759048,multi:softmax,3,mlogloss,hist,42,-1,0,0.75,2.0,0.1,250,1,5,0.05,0.0,1.0
